"tailnum","year","type","manufacturer","model","engines","seats","speed","engine"
"N236FR",2016,"Fixed wing multi engine","AIRBUS","A320-214",2,182,0,"Turbo-fan"
"N236JB",2006,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N236NN",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N236WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N23708",1998,"Fixed wing multi engine","BOEING","737-724",2,149,0,"Turbo-fan"
"N23721",1999,"Fixed wing multi engine","BOEING","737-724",2,149,0,"Turbo-fan"
"N237AK",2016,"Fixed wing multi engine","BOEING","737-990ER",2,222,0,"Turbo-fan"
"N237JQ",2008,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N237WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N238AK",2016,"Fixed wing multi engine","BOEING","737-990ER",2,222,0,"Turbo-fan"
"N238FR",2016,"Fixed wing multi engine","AIRBUS","A320-214",2,182,0,"Turbo-fan"
"N238JB",NA,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N238JQ",2008,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N238WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N239JB",2006,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N239NN",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N239WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N240JQ",2008,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N240NN",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N240WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N241JQ",2008,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N241NN",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N241WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N24202",2000,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N242JQ",2008,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N242WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N243JQ",2008,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N243WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N244JQ",2008,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N244WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N245WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N246JQ",2008,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N246LV",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N24702",1998,"Fixed wing multi engine","BOEING","737-724",2,149,0,"Turbo-fan"
"N24706",1998,"Fixed wing multi engine","BOEING","737-724",2,149,0,"Turbo-fan"
